index,kanji,kanji_old,radical,strokes,grade,year,meanings,on,kun,frequency,jlpt
883,収,收,攴,4,6,,take in,シュウ,おさ-める|おさ-まる,1284,3
884,囚,,囗,5,S,,captured,シュウ,,11562,1
885,州,,巛,6,3,,state,シュウ,す,3337,2
886,舟,,舟,6,S,,boat,シュウ,ふね（ふな）,19257,2
887,秀,,禾,7,S,,excel,シュウ,ひい-でる,2957,1
888,周,,口,8,4,,circumference,シュウ,まわ-り,683,2
889,宗,,宀,8,6,,religion,シュウ|ソウ,,2023,1
890,拾,,手,9,3,,pick up,シュウ|ジュウ,ひろ-う,2770,2
891,秋,,禾,9,2,,autumn,シュウ,あき,981,4
892,臭,臭,自,9,S,,stinking,シュウ,くさ-い|にお-う,4386,1
893,修,,人,10,5,,discipline,シュウ（シュ）,おさ-める|おさ-まる,4177,1
894,袖,,衣,10,S,2010,sleeve,シュウ,そで,4656,1
895,終,,糸,11,3,,end,シュウ,お-わる|お-える,329,4
896,羞,,羊,11,S,2010,feel ashamed,シュウ,,25684,1
897,習,,羽,11,3,,learn,シュウ,なら-う,1727,4
898,週,,辵,11,2,,week,シュウ,,1929,4
899,就,,尢,12,6,,concerning,シュウ（ジュ）,つ-く|つ-ける,4813,1
900,衆,,血,12,6,,masses,シュウ（シュ）,,3740,1
901,集,,隹,12,3,,collect,シュウ,あつ-まる|あつ-める|つど-う,858,4
902,愁,,心,13,S,,distress,シュウ,うれ-える|うれ-い,22057,1
903,酬,,酉,13,S,,repay,シュウ,,4187,1
904,醜,,酉,17,S,,ugly,シュウ,みにく-い,7704,1
905,蹴,,足,19,S,2010,kick,シュウ,け-る,3904,1
906,襲,,衣,22,S,,attack,シュウ,おそ-う,1805,1
907,十,,十,2,1,,ten,ジュウ|ジッ,とお|と,484,5
908,汁,,水,5,S,1981,soup,ジュウ,しる,6682,1
909,充,,儿,6,S,,allot,ジュウ,あ-てる,1871,1
910,住,,人,7,3,,dwelling,ジュウ,す-む|す-まう,506,4
911,柔,,木,9,S,,tender,ジュウ|ニュウ,やわ-らか|やわ-らかい,2770,2
912,重,,里,9,3,,heavy,ジュウ|チョウ,え|おも-い|かさ-ねる|かさ-なる,316,4
913,従,從,彳,10,6,,obey,ジュウ（ショウ）（ジュ）,したが-う|したが-える,578,1
914,渋,澁,水,11,S,,astringent,ジュウ,しぶ|しぶ-い|しぶ-る,5632,1
915,銃,,金,14,S,,gun,ジュウ,,3625,1
916,獣,獸,犬,16,S,,animal,ジュウ,けもの,6888,1
917,縦,縱,糸,16,6,,vertical,ジュウ,たて,3642,1
918,叔,,又,8,S,,uncle,シュク,,49563,1
919,祝,祝,示,9,4,,celebrate,シュク（シュウ）,いわ-う,4014,2
920,宿,,宀,11,3,,inn,シュク,やど|やど-る|やど-す,3109,3
921,淑,,水,11,S,,graceful,シュク,,39952,1
922,粛,肅,聿,11,S,,solemn,シュク,,16768,1
923,縮,,糸,17,6,,shrink,シュク,ちぢ-む|ちぢ-まる|ちぢ-める|ちぢ-れる|ちぢ-らす,5174,1
924,塾,,土,14,S,1981,cram school,ジュク,,5499,1
925,熟,,火,15,6,,ripen,ジュク,う-れる,3930,1
926,出,,凵,5,1,,exit,シュツ（スイ）,で-る|だ-す,76,5
927,述,,辵,8,5,,mention,ジュツ,の-べる,405,2
928,術,,行,11,5,,art,ジュツ,,874,3
929,俊,,人,9,S,,genius,シュン,,23008,1
930,春,,日,9,2,,springtime,シュン,はる,937,4
931,瞬,,目,18,S,,wink,シュン,またた-く,1140,1
932,旬,,日,6,S,,10-day period (of the month),ジュン（シュン）,,8629,1
933,巡,,巛,6,S,,patrol,ジュン,めぐ-る,1902,1
934,盾,,目,9,S,,shield,ジュン,たて,4080,1
935,准,,冫,10,S,,quasi-,ジュン,,21936,1
936,殉,,歹,10,S,,martyrdom,ジュン,,11642,1
937,純,,糸,10,6,,genuine,ジュン,,1764,2
938,循,,彳,12,S,,sequential,ジュン,,10465,1
939,順,,頁,12,4,,obey,ジュン,,2227,2
940,準,,水,13,5,,standard,ジュン,,1101,2
941,潤,,水,15,S,,wet,ジュン,うるお-う|うるお-す|うる-む,10231,1
942,遵,,辵,15,S,,abide by,ジュン,,100920,1
943,処,處,虍,5,6,,dispose,ショ,,113,3
944,初,,刀,7,4,,first,ショ,はじ-め|はじ-めて|はつ|うい|そ-める,294,3
945,所,,戶,8,3,,place,ショ,ところ,83,3
946,書,,曰,10,2,,write,ショ,か-く,148,5
947,庶,,广,11,S,,commoner,ショ,,5113,1
948,暑,暑,日,12,3,,hot,ショ,あつ-い,1908,1
949,署,署,网,13,6,,government office,ショ,,6286,2
950,緒,緖,糸,14,S,,thong,ショ（チョ）,お,261,3
951,諸,諸,言,15,6,,various,ショ,,6190,2
952,女,,女,3,1,,woman,ジョ|ニョ（ニョウ）,おんな|め,156,5
953,如,,女,6,S,,likeness,ジョ|ニョ,,1138,1
954,助,,力,7,3,,help,ジョ,たす-ける|たす-かる|すけ,1365,3
955,序,,广,7,5,,preface,ジョ,,2418,1
956,叙,敍,攴,9,S,,confer,ジョ,,16831,1
957,徐,,彳,10,S,,gradually,ジョ,,2133,1
958,除,,阜,10,6,,exclude,ジョ（ジ）,のぞ-く,614,3
959,小,,小,3,1,,small,ショウ,ちい-さい|こ|お,428,5
960,升,,十,4,S,,measuring box,ショウ,ます,26322,1
961,少,,小,4,2,,few,ショウ,すく-ない|すこ-し,166,4
962,召,,口,5,S,,summon,ショウ,め-す,8761,2
963,匠,,匚,6,S,,artisan,ショウ,,6136,1
964,床,,广,7,S,,bed,ショウ,とこ|ゆか,1227,2
965,抄,,手,7,S,,extract,ショウ,,16416,1
966,肖,,肉,7,S,,resemblance,ショウ,,13275,1
967,尚,,小,8,S,1981,esteem,ショウ,,5523,1
968,招,,手,8,5,,beckon,ショウ,まね-く,1881,3
969,承,,手,8,6,,acquiesce,ショウ,うけたまわ-る,3296,2
970,昇,,日,8,S,,rise up,ショウ,のぼ-る,1956,2
971,松,,木,8,4,,pine,ショウ,まつ,3894,1
972,沼,,水,8,S,,marsh,ショウ,ぬま,9893,1
973,昭,,日,9,3,,shining,ショウ,,233,1
974,宵,,宀,10,S,1981,wee hours,ショウ,よい,21375,1
975,将,將,寸,10,6,,leader,ショウ,,1025,2
976,消,,水,10,3,,extinguish,ショウ,き-える|け-す,756,3
977,症,,疒,10,S,,symptoms,ショウ,,1303,1
978,祥,祥,示,10,S,,auspicious,ショウ,,13476,1
979,称,稱,禾,10,S,,appellation,ショウ,,2377,1
980,笑,,竹,10,4,,laugh,ショウ,わら-う|え-む,292,3
981,唱,,口,11,4,,chant,ショウ,とな-える,2831,1
982,商,,口,11,3,,sell,ショウ,あきな-う,706,3
983,渉,涉,水,11,S,,ford,ショウ,,2616,1
984,章,,立,11,3,,chapter,ショウ,,1181,2
985,紹,,糸,11,S,,introduce,ショウ,,612,2
986,訟,,言,11,S,,sue,ショウ,,4461,1
987,勝,,力,12,3,,win,ショウ,か-つ|まさ-る,1334,3
988,掌,,手,12,S,,manipulate,ショウ,,2974,1
989,晶,,日,12,S,,sparkle,ショウ,,8098,1
990,焼,燒,火,12,4,,bake,ショウ,や-く|や-ける,1150,2
991,焦,,火,12,S,,char,ショウ,こ-げる|こ-がす|こ-がれる|あせ-る,3538,1
992,硝,,石,12,S,,nitrate,ショウ,,43644,1
993,粧,,米,12,S,,cosmetics,ショウ,,6207,1
994,詔,,言,12,S,,imperial edict,ショウ,みことのり,29972,1
995,証,證,言,12,5,,evidence,ショウ,,1626,1
996,象,,豕,12,5,,elephant,ショウ|ゾウ,,351,2
997,傷,,人,13,6,,wound,ショウ,きず|いた-む|いた-める,1920,1
998,奨,奬,大,13,S,,exhort,ショウ,,9937,1
999,照,,火,13,4,,illuminate,ショウ,て-る|て-らす|て-れる,2478,2
1000,詳,,言,13,S,,detailed,ショウ,くわ-しい,625,1
1001,彰,,彡,14,S,,patent,ショウ,,15125,1
1002,障,,阜,14,6,,hurt,ショウ,さわ-る,1307,1
1003,憧,,心,15,S,2010,desire,ショウ,あこが-れる,4479,1
1004,衝,,行,15,S,,collide,ショウ,,3118,1
1005,賞,,貝,15,5,,prize,ショウ,,7147,2
1006,償,,人,17,S,,reparation,ショウ,つぐな-う,6598,1
1007,礁,,石,17,S,,reef,ショウ,,18121,1
1008,鐘,,金,20,S,,bell,ショウ,かね,5877,1
1009,上,,一,3,1,,up,ジョウ（ショウ）,うえ（うわ）|かみ|あ-げる|あ-がる|のぼ-る|のぼ-せる|のぼ-す,133,5
1010,丈,,一,3,S,,length,ジョウ,たけ,629,1
1011,冗,,冖,4,S,,superfluous,ジョウ,,2952,1
1012,条,條,木,7,5,,clause,ジョウ,,761,1
1013,状,狀,犬,7,5,,form,ジョウ,,307,3
1014,乗,乘,丿,9,3,,ride,ジョウ,の-る|の-せる,310,3
1015,城,,土,9,4,,castle,ジョウ,しろ,2532,2
1016,浄,淨,水,9,S,,clean,ジョウ,,14371,1
1017,剰,剩,刀,11,S,,surplus,ジョウ,,5890,1
1018,常,,巾,11,5,,normal,ジョウ,つね|とこ,338,3
1019,情,,心,11,5,,feelings,ジョウ（セイ）,なさ-け,350,3
1020,場,,土,12,2,,place,ジョウ,ば,73,4
1021,畳,疊,田,12,S,,tatami mat,ジョウ,たた-む|たたみ,4833,2
1022,蒸,,艸,13,6,,steam,ジョウ,む-す|む-れる|む-らす,9950,2
1023,縄,繩,糸,15,4,1981,straw rope,ジョウ,なわ,2146,1
1024,壌,壤,土,16,S,1981,lot,ジョウ,,6341,1
1025,嬢,孃,女,16,S,,lass,ジョウ,,7264,1
1026,錠,,金,16,S,,lock,ジョウ,,15076,1
1027,譲,讓,言,20,S,,defer,ジョウ,ゆず-る,3103,1
1028,醸,釀,酉,20,S,,brew,ジョウ,かも-す,9950,1
1029,色,,色,6,2,,color,ショク|シキ,いろ,417,4
1030,拭,,手,9,S,2010,wipe,ショク,ふ-く|ぬぐ-う,2760,1
1031,食,,食,9,2,,eat|meal,ショク（ジキ）,く-う|く-らう|た-べる,199,5
1032,植,,木,12,3,,plant,ショク,う-える|う-わる,1824,2
1033,殖,,歹,12,S,,augment,ショク,ふ-える|ふ-やす,11042,1
1034,飾,,食,13,S,,decorate,ショク,かざ-る,1791,1
1035,触,觸,角,13,S,,contact,ショク,ふ-れる|さわ-る,720,2
1036,嘱,囑,口,15,S,,entrust,ショク,,16661,1
1037,織,,糸,18,5,,weave,ショク|シキ,お-る,1062,1
1038,職,,耳,18,5,,employment,ショク,,1546,3
1039,辱,,辰,10,S,,embarrass,ジョク,はずかし-める,10849,1
1040,尻,,尸,5,S,2010,buttocks,,しり,4244,1
1041,心,,心,4,2,,heart,シン,こころ,195,4
1042,申,,田,5,3,,say,シン,もう-す,732,3
1043,伸,,人,7,S,,lengthen,シン,の-びる|の-ばす|の-べる,963,2
1044,臣,,臣,7,4,,retainer,シン|ジン,,1770,2
1045,芯,,艸,7,S,2010,core,シン,,5453,1
1046,身,,身,7,3,,body,シン,み,346,4
1047,辛,,辛,7,S,,spicy,シン,から-い,1016,2
1048,侵,,人,9,S,,encroach,シン,おか-す,4575,1
1049,信,,人,9,4,,trust,シン,,681,3
1050,津,,水,9,S,,haven,シン,つ,6421,1
1051,神,神,示,9,3,,god,シン|ジン,かみ（かん）（こう）,529,3
1052,唇,,口,10,S,1981,lips,シン,くちびる,1461,1
1053,娠,,女,10,S,,with child,シン,,3546,1
1054,振,,手,10,S,,shake,シン,ふ-る|ふ-るう|ふ-れる,762,1
1055,浸,,水,10,S,,immersed,シン,ひた-す|ひた-る,4663,1
1056,真,眞,目,10,3,,true,シン,ま,302,4
1057,針,,金,10,6,,needle,シン,はり,1924,2
1058,深,,水,11,3,,deep,シン,ふか-い|ふか-まる|ふか-める,552,3
1059,紳,,糸,11,S,,sire,シン,,8394,1
1060,進,,辵,11,3,,advance,シン,すす-む|すす-める,388,3
1061,森,,木,12,1,,forest,シン,もり,1134,2
1062,診,,言,12,S,,checkup,シン,み-る,3957,1
1063,寝,寢,宀,13,S,,lie down,シン,ね-る|ね-かす,567,3
1064,慎,愼,心,13,S,,humility,シン,つつし-む,2446,1
1065,新,,斤,13,2,,new,シン,あたら-しい|あら-た|にい,250,4
1066,審,,宀,15,S,,examine,シン,,3915,1
1067,震,,雨,15,S,,quake,シン,ふる-う|ふる-える,2249,2
1068,薪,,艸,16,S,,fuel,シン,たきぎ,7428,1
1069,親,,見,16,2,,parent,シン,おや|した-しい|した-しむ,476,4
1070,人,,人,2,1,,person,ジン|ニン,ひと,55,5
1071,刃,,刀,3,S,,blade,ジン,は,5589,1
1072,仁,,人,4,6,,humanity,ジン（ニ）,,19087,1
1073,尽,盡,皿,6,S,,exhaust,ジン,つ-くす|つ-きる|つ-かす,2523,1
1074,迅,,辵,6,S,,swift,ジン,,3622,1
1075,甚,,甘,9,S,1981,tremendously,ジン,はなは-だ|はなは-だしい,7683,1
1076,陣,,阜,10,S,,camp,ジン,,10066,1
1077,尋,,寸,12,S,,inquire,ジン,たず-ねる,856,1
1078,腎,,肉,13,S,2010,kidney,ジン,,9680,1
1079,須,,頁,12,S,2010,by all means,ス,,8746,1
1080,図,圖,囗,7,2,,diagram,ズ|ト,はか-る,241,4
1081,水,,水,4,1,,water,スイ,みず,295,5
1082,吹,,口,7,S,,blow,スイ,ふ-く,2104,3
1083,垂,,土,8,6,,droop,スイ,た-れる|た-らす,5453,1
1084,炊,,火,8,S,,cook,スイ,た-く,12533,1
1085,帥,,巾,9,S,,commander,スイ,,33567,1
1086,粋,粹,米,10,S,,chic,スイ,いき,3391,1
1087,衰,,衣,10,S,,decline,スイ,おとろ-える,5783,1
1088,推,,手,11,6,,infer,スイ,お-す,943,1
1089,酔,醉,酉,11,S,,drunk,スイ,よ-う,3845,1
1090,遂,,辵,12,S,,consummate,スイ,と-げる,1087,1
1091,睡,,目,13,S,,drowsy,スイ,,7617,1
1092,穂,穗,禾,15,S,,ear,スイ,ほ,14623,1
1093,随,隨,阜,12,S,,follow,ズイ,,1261,1
1094,髄,髓,骨,19,S,,marrow,ズイ,,17170,1
1095,枢,樞,木,8,S,,hinge,スウ,,10679,1
1096,崇,,山,11,S,,adore,スウ,,16973,1
1097,数,數,攴,13,2,,number,スウ（ス）,かず|かぞ-える,566,3
1098,据,,手,11,S,1981,set,,す-える|す-わる,4129,1
1099,杉,,木,7,S,1981,cedar,,すぎ,6714,1
1100,裾,,衣,13,S,2010,cuff,,すそ,4596,1
1101,寸,,寸,3,6,,measurement,スン,,216,1
1102,瀬,瀨,水,19,S,,rapids,,せ,11499,1
1103,是,,日,9,S,,just so,ゼ,,850,1
1104,井,,二,4,4,,well,セイ（ショウ）,い,2540,1
1105,世,,一,5,3,,world,セイ|セ,よ,236,4
1106,正,,止,5,1,,correct,セイ|ショウ,ただ-しい|ただ-す|まさ,718,4
1107,生,,生,5,1,,life,セイ|ショウ,い-きる|い-かす|い-ける|う-まれる|う-む|お-う|は-える|は-やす|き|なま,327,5
1108,成,,戈,6,4,,become,セイ（ジョウ）,な-る|な-す,19,3
1109,西,,襾,6,2,,west,セイ|サイ,にし,1873,5
1110,声,聲,耳,7,2,,voice,セイ（ショウ）,こえ（こわ）,176,3
1111,制,,刀,8,5,,control,セイ,,889,3
1112,姓,,女,8,S,,surname,セイ|ショウ,,6777,2
1113,征,,彳,8,S,,subjugate,セイ,,11806,1
1114,性,,心,8,5,,gender,セイ|ショウ,,229,3
1115,青,,靑,8,1,,blue,セイ（ショウ）,あお|あお-い,1868,4
1116,斉,齊,齊,8,S,1981,adjusted,セイ,,3544,1
1117,政,,攴,9,5,,politics,セイ（ショウ）,まつりごと,688,3
1118,星,,日,9,2,,star,セイ（ショウ）,ほし,1702,2
1119,牲,,牛,9,S,,animal sacrifice,セイ,,2465,1
1120,省,,目,9,4,,government ministry,セイ|ショウ,かえり-みる|はぶ-く,3411,2
1121,凄,,冫,10,S,2010,uncanny,セイ,,414,1
1122,逝,,辵,10,S,1981,departed,セイ,ゆ-く|い-く,10637,1
1123,清,,水,11,4,,pure,セイ（ショウ）,きよ-い|きよ-まる|きよ-める,6360,2
1124,盛,,皿,11,6,,prosper,セイ（ジョウ）,も-る|さか-る|さか-ん,2226,1
1125,婿,,女,12,S,,bridegroom,セイ,むこ,18278,1
1126,晴,,日,12,2,,clear up,セイ,は-れる|は-らす,976,3
1127,勢,,力,13,5,,power,セイ,いきお-い,1152,2
1128,聖,,耳,13,6,,holy,セイ,,4947,1
1129,誠,,言,13,6,,sincerity,セイ,まこと,6901,1
1130,精,,米,14,5,,refined,セイ（ショウ）,,1501,3
1131,製,,衣,14,5,,manufacture,セイ,,1565,1
1132,誓,,言,14,S,,vow,セイ,ちか-う,4499,1
1133,静,靜,靑,14,4,,quiet,セイ（ジョウ）,しず|しず-か|しず-まる|しず-める,1001,3
1134,請,,言,15,S,,solicit,セイ（シン）,こ-う|う-ける,2576,1
1135,整,,攴,16,3,,put in order,セイ,ととの-える|ととの-う,729,1
1136,醒,,酉,16,S,2010,be disillusioned,セイ,,11042,1
1137,税,,禾,12,5,,tax,ゼイ,,2360,2
1138,夕,,夕,3,1,,evening,セキ,ゆう,2166,4
1139,斥,,斤,5,S,,reject,セキ,,29094,1
1140,石,,石,5,1,,stone,セキ（シャク）（コク）,いし,1155,3
1141,赤,,赤,7,1,,red,セキ（シャク）,あか|あか-い|あか-らむ|あか-らめる,973,4
1142,昔,,日,8,3,,long ago,セキ（シャク）,むかし,514,3
1143,析,,木,8,S,,chop,セキ,,2694,1
1144,席,,巾,10,4,,seat,セキ,,1340,3
1145,脊,,肉,10,S,2010,stature,セキ,,17170,1
1146,隻,,隹,10,S,,vessels,セキ,,16243,2
1147,惜,,心,11,S,,pity,セキ,お-しい|お-しむ,5920,1
1148,戚,,戈,11,S,2010,grieve,セキ,,3700,1
1149,責,,貝,11,5,,blame,セキ,せ-める,705,3
1150,跡,,足,13,S,,tracks,セキ,あと,3219,2
1151,積,,禾,16,4,,accumulate,セキ,つ-む|つ-もる,511,3
1152,績,,糸,17,5,,exploits,セキ,,2663,2
1153,籍,,竹,20,S,,enroll,セキ,,7202,2
1154,切,,刀,4,2,,cut,セツ（サイ）,き-る|き-れる,394,4
1155,折,,手,7,4,,fold,セツ,お-る|おり|お-れる,1720,3
1156,拙,,手,8,S,,bungling,セツ,つたな-い,16243,1
1157,窃,竊,穴,9,S,,stealth,セツ,,12988,1
1158,接,,手,11,5,,contact,セツ,つ-ぐ,773,2
1159,設,,言,11,5,,establish,セツ,もう-ける,1003,2
1160,雪,,雨,11,2,,snow,セツ,ゆき,974,3
1161,摂,攝,手,13,S,,vicarious,セツ,,7192,1
1162,節,節,竹,13,4,,node,セツ（セチ）,ふし,1667,1
1163,説,,言,14,4,,theory,セツ（ゼイ）,と-く,616,3
1164,舌,,舌,6,6,,tongue,ゼツ,した,2366,1
1165,絶,絕,糸,12,5,,discontinue,ゼツ,た-える|た-やす|た-つ,922,3
1166,千,,十,3,1,,thousand,セン,ち,2234,5
1167,川,,巛,3,1,,river,セン,かわ,1257,5
1168,仙,,人,5,S,1981,hermit,セン,,6341,1
1169,占,,卜,5,S,,fortune telling,セン,し-める|うらな-う,605,2
1170,先,,儿,6,1,,previous,セン,さき,204,5
1171,宣,,宀,9,6,,proclaim,セン,,4100,1
1172,専,專,寸,9,6,,specialty,セン,もっぱ-ら,2239,2
1173,泉,,水,9,6,,spring,セン,いずみ,3530,2
1174,浅,淺,水,9,4,,shallow,セン,あさ-い,3806,2
1175,洗,,水,9,6,,wash,セン,あら-う,1348,3
1176,染,,木,9,6,,dye,セン,そ-める|そ-まる|し-みる|し-み,4221,1
1177,扇,,戶,10,S,,fan,セン,おうぎ,14827,1
1178,栓,,木,10,S,1981,plug,セン,,17367,1
1179,旋,,方,11,S,,rotation,セン,,9680,1
1180,船,,舟,11,2,,boat,セン,ふね（ふな）,944,3
1181,戦,戰,戈,13,4,,war,セン,いくさ|たたか-う,859,3
1182,煎,,火,13,S,2010,broil,セン,い-る,26483,1
1183,羨,,羊,13,S,2010,envy,セン,うらや-む|うらや-ましい,4447,1
1184,腺,,肉,13,S,2010,gland,セン,,31154,1
1185,詮,,言,13,S,2010,discussion,セン,,5755,1
1186,践,踐,足,13,S,,tread,セン,,3971,1
1187,箋,,竹,14,S,2010,paper,セン,,15507,1
1188,銭,錢,金,14,6,,coin,セン,ぜに,5254,1
1189,潜,潛,水,15,S,,submerge,セン,ひそ-む|もぐ-る,4491,1
1190,線,,糸,15,2,,line,セン,,1294,2
1191,遷,,辵,15,S,,transition,セン,,8790,1
1192,選,,辵,15,4,,choose,セン,えら-ぶ,399,3
1193,薦,,艸,16,S,,recommend,セン,すす-める,10654,1
1194,繊,纖,糸,17,S,,slender,セン,,6282,1
1195,鮮,,魚,17,S,,fresh,セン,あざ-やか,2468,1
1196,全,,入,6,3,,whole,ゼン,まった-く|すべ-て,248,3
1197,前,,刀,9,2,,in front,ゼン,まえ,127,5
1198,善,,口,12,6,,good,ゼン,よ-い,1644,1
1199,然,,火,12,4,,so,ゼン|ネン,,95,3
1200,禅,禪,示,13,S,,Zen,ゼン,,7897,1
1201,漸,,水,14,S,,steadily,ゼン,,999,1
1202,膳,,肉,16,S,2010,tray,ゼン,,17314,1
1203,繕,,糸,18,S,,darning,ゼン,つくろ-う,21936,1
1204,狙,,犬,8,S,2010,aim at,ソ,ねら-う,1423,1
1205,阻,,阜,8,S,,thwart,ソ,はば-む,6705,1
1206,祖,祖,示,9,5,,ancestor,ソ,,3449,3
1207,租,,禾,10,S,,tariff,ソ,,13523,1
1208,素,,糸,10,5,,elementary,ソ|ス,,976,1
1209,措,,手,11,S,,set aside,ソ,,1252,1
1210,粗,,米,11,S,,coarse,ソ,あら-い,10189,1
1211,組,,糸,11,2,,association,ソ,く-む|くみ,1059,3
1212,疎,,疋,12,S,,alienate,ソ,うと-い|うと-む,11323,1
1213,訴,,言,12,S,,sue,ソ,うった-える,1520,1
1214,塑,,土,13,S,,model,ソ,,58565,1
1215,遡,,辵,14,S,2010,go upstream,ソ,さかのぼ-る,3607,1
1216,礎,,石,18,S,,cornerstone,ソ,いしずえ,1977,1
1217,双,雙,隹,4,S,,pair,ソウ,ふた,3602,2
1218,壮,壯,士,6,S,,robust,ソウ,,7929,1
1219,早,,日,6,1,,early,ソウ（サッ）,はや-い|はや-まる|はや-める,258,4
1220,争,爭,爪,6,4,,conflict,ソウ,あらそ-う,859,3
1221,走,,走,7,2,,run,ソウ,はし-る,442,4
1222,奏,,大,9,6,,play music,ソウ,かな-でる,3730,1
1223,相,,目,9,3,,mutual,ソウ|ショウ,あい,235,3
1224,荘,莊,艸,9,S,,villa,ソウ,,7717,1
1225,草,,艸,9,1,,grass,ソウ,くさ,2657,3
1226,送,,辵,9,3,,send,ソウ,おく-る,431,4
1227,倉,,人,10,4,,warehouse,ソウ,くら,5819,1
1228,捜,搜,手,10,S,,search,ソウ,さが-す,3014,2
1229,挿,插,手,10,S,1981,insert,ソウ,さ-す,4447,1
1230,桑,,木,10,S,,mulberry,ソウ,くわ,17170,1
1231,巣,巢,巛,11,4,,nest,ソウ,す,3286,1
1232,掃,,手,11,S,,sweep,ソウ,は-く,3241,2
1233,曹,,曰,11,S,1981,cadet,ソウ,,9989,1
1234,曽,曾,曰,11,S,2010,formerly,ソウ（ゾ）,,31154,1
1235,爽,,爻,11,S,2010,refreshing,ソウ,さわ-やか,4203,1
1236,窓,,穴,11,6,,window,ソウ,まど,882,3
1237,創,,刀,12,6,,create,ソウ,つく-る,5147,1
1238,喪,,口,12,S,,miss,ソウ,も,10817,1
1239,痩,瘦,疒,12,S,2010,get thin,ソウ,や-せる,2632,1
1240,葬,,艸,12,S,,interment,ソウ,ほうむ-る,4783,1
1241,装,裝,衣,12,6,,attire,ソウ|ショウ,よそお-う,3098,2
1242,僧,僧,人,13,S,,Buddhist priest,ソウ,,6888,1
1243,想,,心,13,3,,concept,ソウ（ソ）,,1944,3
1244,層,層,尸,14,6,,stratum,ソウ,,1034,2
1245,総,總,糸,14,5,,whole,ソウ,,2025,2
1246,遭,,辵,14,S,,encounter,ソウ,あ-う,6325,1
1247,槽,,木,15,S,1981,vat,ソウ,,6540,1
1248,踪,,足,15,S,2010,remains,ソウ,,23660,1
1249,操,,手,16,6,,maneuver,ソウ,みさお|あやつ-る,3022,1
1250,燥,,火,17,S,,parch,ソウ,,4400,2
1251,霜,,雨,17,S,,frost,ソウ,しも,13023,1
1252,騒,騷,馬,18,S,,boisterous,ソウ,さわ-ぐ,3478,1
1253,藻,,艸,19,S,1981,seaweed,ソウ,も,15916,1
1254,造,,辵,10,5,,create,ゾウ,つく-る,1527,2
1255,像,,人,14,5,,statue,ゾウ,,1250,2
1256,増,增,土,14,5,,increase,ゾウ,ま-す|ふ-える|ふ-やす,505,3
1257,憎,憎,心,14,S,,hate,ゾウ,にく-む|にく-い|にく-らしい|にく-しみ,5755,2
1258,蔵,藏,艸,15,6,,warehouse,ゾウ,くら,2609,2
1259,贈,贈,貝,18,S,,presents,ゾウ（ソウ）,おく-る,2978,2
1260,臓,臟,肉,19,6,,entrails,ゾウ,,2444,2
1261,即,卽,卩,7,S,,instant,ソク,,521,1
1262,束,,木,7,4,,bundle,ソク,たば,1912,3
1263,足,,足,7,1,,foot,ソク,あし|た-りる|た-る|た-す,404,4
1264,促,,人,9,S,,stimulate,ソク,うなが-す,1964,1
1265,則,,刀,9,5,,rule,ソク,,1110,2
1266,息,,心,10,3,,breath,ソク,いき,822,3
1267,捉,,手,10,S,2010,capture,ソク,とら-える,27555,1
1268,速,,辵,10,3,,fast,ソク,はや-い|はや-める|はや-まる|すみ-やか,1764,3
1269,側,,人,11,4,,side,ソク,がわ,1157,3
1270,測,,水,12,5,,fathom,ソク,はか-る,2494,2
1271,俗,,人,9,S,,vulgar,ゾク,,7597,1
1272,族,,方,11,3,,tribe,ゾク,,445,4
1273,属,屬,尸,12,5,,belong,ゾク,,1737,1
1274,賊,,貝,13,S,,burglar,ゾク,,5163,1
1275,続,續,糸,13,4,,continue,ゾク,つづ-く|つづ-ける,282,3
1276,卒,,十,8,4,,graduate,ソツ,,2842,2
1277,率,,玄,11,5,,rate,ソツ|リツ,ひき-いる,2180,1
1278,存,,子,6,6,,suppose,ソン|ゾン,,542,3
1279,村,,木,7,1,,village,ソン,むら,1149,2
1280,孫,,子,10,4,,grandchild,ソン,まご,3075,2
1281,尊,,寸,12,6,,revered,ソン,たっと-い|とうと-い|たっと-ぶ|とうと-ぶ,3441,2
1282,損,,手,13,5,,loss,ソン,そこ-なう|そこ-ねる,3802,2
1283,遜,,辵,14,S,2010,humble,ソン,,30652,1
1284,他,,人,5,3,,other,タ,ほか,145,3
1285,多,,夕,6,2,,many,タ,おお-い,119,4
1286,汰,,水,7,S,2010,luxury,タ,,20641,1
1287,打,,手,5,3,,hit,ダ,う-つ,525,3
1288,妥,,女,7,S,,gentle,ダ,,5091,1
1289,唾,,口,11,S,2010,saliva,ダ,つば,7731,1
1290,堕,墮,土,12,S,,degenerate,ダ,,16528,1
1291,惰,,心,12,S,,lazy,ダ,,30426,1
1292,駄,,馬,14,S,1981,burdensome,ダ,,604,1
1293,太,,大,4,2,,thick,タイ|タ,ふと-い|ふと-る,1535,3
1294,対,對,寸,7,3,,opposite,タイ|ツイ,,202,3
1295,体,體,骨,7,2,,body,タイ|テイ,からだ,257,4
1296,耐,,而,9,S,,resistant,タイ,た-える,2038,1
1297,待,,彳,9,3,,wait,タイ,ま-つ,330,4
1298,怠,,心,9,S,,neglect,タイ,おこた-る|なま-ける,5759,1
1299,胎,,肉,9,S,,womb,タイ,,7539,1
